=== SELECT * FROM bookings (НОВАЯ СИСТЕМА - booking-db) ===
      id       |   user_id   |   hotel_id   | promo_code | status  | price |          check_in          |         created_at         
---------------+-------------+--------------+------------+---------+-------+----------------------------+----------------------------
 1778872584676 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:19:33.789952 | 2026-05-15 19:19:33.789968
 1778872925178 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:22:12.373735 | 2026-05-15 19:22:12.373758
 1778872925179 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:22:27.76908  | 2026-05-15 19:22:27.769093
 1778873060110 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:24:25.314327 | 2026-05-15 19:24:25.314389
 1778873060111 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:25:04.189792 | 2026-05-15 19:25:04.189805
 1778873060112 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:26:29.84274  | 2026-05-15 19:26:29.842757
 1778873060113 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:28:37.096847 | 2026-05-15 19:28:37.096861
 1778873060114 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:29:02.853451 | 2026-05-15 19:29:02.853477
 1778873060115 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:31:12.396603 | 2026-05-15 19:31:12.396614
 1778873060116 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:32:00.630306 | 2026-05-15 19:32:00.630319
 1778873060117 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:34:12.045979 | 2026-05-15 19:34:12.046004
 1778873060118 | test-user-2 | test-hotel-1 | TESTCODE1  | PENDING |    90 | 2026-05-15 19:34:32.402145 | 2026-05-15 19:34:32.40216
 1778873060119 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:38:31.525628 | 2026-05-15 19:38:31.525646
 1778873060120 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:42:38.296736 | 2026-05-15 19:42:38.296749
 1778873060121 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:47:05.203454 | 2026-05-15 19:47:05.203468
 1778873060122 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:51:36.189639 | 2026-05-15 19:51:36.189651
 1778873060123 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:52:40.518663 | 2026-05-15 19:52:40.518676
 1778873060124 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:54:46.499253 | 2026-05-15 19:54:46.499264
 1778873060125 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:55:24.190552 | 2026-05-15 19:55:24.190564
 1778873060126 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:56:25.374402 | 2026-05-15 19:56:25.374418
 1778873060127 | test-user-2 | test-hotel-1 | TESTCODE1  | PENDING |    90 | 2026-05-15 19:56:25.39612  | 2026-05-15 19:56:25.396133
 1778873060128 | test-user-3 | test-hotel-1 |            | PENDING |   100 | 2026-05-15 19:57:57.136676 | 2026-05-15 19:57:57.13669
 1778873060129 | test-user-2 | test-hotel-1 | TESTCODE1  | PENDING |    90 | 2026-05-15 19:57:57.155725 | 2026-05-15 19:57:57.155737
(23 rows)

